BE Number,Status,Date,PWO,
NSB006479,BER,2017-08-01,PWO240869,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006479' ,'PWO240869' , 'BER' , 'NSB006479' , '2017-08-01','No'"
NSB006480,BER,2017-08-01,PWO240533,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006480' ,'PWO240533' , 'BER' , 'NSB006480' , '2017-08-01','No'"
NSB006482,BER,2017-08-01,PWO241138,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006482' ,'PWO241138' , 'BER' , 'NSB006482' , '2017-08-01','No'"
NSB006490,BER,2017-08-01,PWO240305,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006490' ,'PWO240305' , 'BER' , 'NSB006490' , '2017-08-01','No'"
NSB006491,BER,2017-08-01,PWO241149,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006491' ,'PWO241149' , 'BER' , 'NSB006491' , '2017-08-01','No'"
NSB006492,BER,2017-08-01,PWO240306,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006492' ,'PWO240306' , 'BER' , 'NSB006492' , '2017-08-01','No'"
NSB006493,BER,2017-08-01,PWO240445,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006493' ,'PWO240445' , 'BER' , 'NSB006493' , '2017-08-01','No'"
NSB006494,BER,2017-08-01,PWO240310,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006494' ,'PWO240310' , 'BER' , 'NSB006494' , '2017-08-01','No'"
NSB006507,BER,2017-08-01,PWO240271,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006507' ,'PWO240271' , 'BER' , 'NSB006507' , '2017-08-01','No'"
NSB007021,BER,2017-08-01,PWO240345,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB007021' ,'PWO240345' , 'BER' , 'NSB007021' , '2017-08-01','No'"
NSB007023,BER,2017-08-01,PWO240339,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB007023' ,'PWO240339' , 'BER' , 'NSB007023' , '2017-08-01','No'"
NSB006937,BER,2017-08-01,PWO238420,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006937' ,'PWO238420' , 'BER' , 'NSB006937' , '2017-08-01','No'"
NSB006931,BER,2017-08-01,PWO237626,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006931' ,'PWO237626' , 'BER' , 'NSB006931' , '2017-08-01','No'"
NSB005887,BER,2017-08-01,PWO237743,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB005887' ,'PWO237743' , 'BER' , 'NSB005887' , '2017-08-01','No'"
NSB005893,BER,2017-08-01,PWO237929,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB005893' ,'PWO237929' , 'BER' , 'NSB005893' , '2017-08-01','No'"
NSB004892,BER,2017-08-01,PWO238284,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB004892' ,'PWO238284' , 'BER' , 'NSB004892' , '2017-08-01','No'"
NSB006901,BER,2017-08-01,PWO238143,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006901' ,'PWO238143' , 'BER' , 'NSB006901' , '2017-08-01','No'"
NSB006554,BER,2017-08-01,PWO239741,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006554' ,'PWO239741' , 'BER' , 'NSB006554' , '2017-08-01','No'"
NSB006555,BER,2017-08-01,PWO237946,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB006555' ,'PWO237946' , 'BER' , 'NSB006555' , '2017-08-01','No'"
NSB005842,BER,2017-08-01,PWO237641,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'NSB005842' ,'PWO237641' , 'BER' , 'NSB005842' , '2017-08-01','No'"
